date,index_name,action,symbol,security
2026-08-04,NDX100,remove,EA,Electronic Arts
2026-07-01,NDX100,add,SPCX,SpaceX
2026-06-29,NDX100,add,HONA,Honeywell Aerospace
2026-06-22,NDX100,remove,ZS,Zscaler
2026-06-22,NDX100,remove,VRSK,Verisk Analytics
2026-06-22,NDX100,remove,INSM,Insmed Incorporated
2026-06-22,NDX100,remove,CTSH,Cognizant
2026-06-22,NDX100,remove,CHTR,Charter Communications
2026-06-22,NDX100,add,TER,Teradyne
2026-06-22,NDX100,add,RKLB,Rocket Lab
2026-06-22,NDX100,add,NBIS,Nebius Group
2026-06-22,NDX100,add,CRWV,CoreWeave
2026-06-22,NDX100,add,ALAB,Astera Labs
2026-05-18,NDX100,remove,CSGP,CoStar Group
2026-05-18,NDX100,add,LITE,Lumentum
2026-04-20,NDX100,remove,TEAM,Atlassian
2026-04-20,NDX100,add,SNDK,Sandisk
2026-01-20,NDX100,remove,AZN,AstraZeneca
2026-01-20,NDX100,add,WMT,Walmart
2026-01-09,NDX100,remove,VSNT,Versant
2026-01-05,NDX100,add,VSNT,Versant
2025-12-22,NDX100,remove,TTD,Trade Desk (The)
2025-12-22,NDX100,remove,ON,ON Semiconductor
2025-12-22,NDX100,remove,LULU,Lululemon Athletica
2025-12-22,NDX100,remove,GFS,GlobalFoundries
2025-12-22,NDX100,remove,CDW,CDW Corporation
2025-12-22,NDX100,remove,BIIB,Biogen
2025-12-22,NDX100,add,WDC,Western Digital
2025-12-22,NDX100,add,STX,Seagate Technology Holdings
2025-12-22,NDX100,add,MPWR,Monolithic Power Systems
2025-12-22,NDX100,add,INSM,Insmed Incorporated
2025-12-22,NDX100,add,FER,Ferrovial SE
2025-12-22,NDX100,add,ALNY,Alnylam Pharmaceuticals
2025-11-06,NDX100,remove,SOLS,Solstice Advanced Materials
2025-10-30,NDX100,add,SOLS,Solstice Advanced Materials
2025-07-28,NDX100,add,TRI,Thomson Reuters
2025-07-17,NDX100,remove,ANSS,Ansys
2025-05-19,NDX100,remove,MDB,MongoDB
2025-05-19,NDX100,add,SHOP,Shopify
2024-12-23,NDX100,remove,SMCI,Supermicro
2024-12-23,NDX100,remove,MRNA,Moderna
2024-12-23,NDX100,remove,ILMN,Ilumina
2024-12-23,NDX100,add,PLTR,Palantir Technologies
2024-12-23,NDX100,add,MSTR,MicroStrategy
2024-12-23,NDX100,add,AXON,Axon Enterprise
2024-11-18,NDX100,remove,DLTR,Dollar Tree
2024-11-18,NDX100,add,APP,AppLovin
2024-07-22,NDX100,remove,WBA,Walgreens Boots Alliance
2024-07-22,NDX100,add,SMCI,Supermicro
2024-06-24,NDX100,remove,SIRI,SiriusXM
2024-06-24,NDX100,add,ARM,Arm Holdings
2024-03-18,NDX100,remove,SPLK,Splunk
2024-03-18,NDX100,add,LIN,Linde
2023-12-18,NDX100,remove,ZM,Zoom Video Communications
2023-12-18,NDX100,remove,LCID,Lucid Group
2023-12-18,NDX100,remove,JD,JD.com
2023-12-18,NDX100,remove,ENPH,Enphase Energy
2023-12-18,NDX100,remove,EBAY,EBay
2023-12-18,NDX100,remove,ALGN,Align Technology
2023-12-18,NDX100,add,SPLK,Splunk
2023-12-18,NDX100,add,ROP,Roper Technologies
2023-12-18,NDX100,add,MDB,MongoDB
2023-12-18,NDX100,add,DASH,DoorDash
2023-12-18,NDX100,add,CDW,CDW
2023-12-18,NDX100,add,CCEP,Coca-Cola Europacific Partners
2023-12-14,NDX100,remove,SGEN,Seagen Inc.
2023-12-14,NDX100,add,TTWO,Take-Two Interactive
2023-07-17,NDX100,remove,ATVI,Activision Blizzard
2023-07-17,NDX100,add,TTD,The Trade Desk
2023-06-20,NDX100,remove,RIVN,Rivian Automotive
2023-06-20,NDX100,add,ON,Onsemi
2023-06-07,NDX100,remove,FI,Fiserv
2023-06-07,NDX100,add,GEHC,GE HealthCare
2022-12-19,NDX100,remove,VRSN,VeriSign
2022-12-19,NDX100,remove,SWKS,Skyworks
2022-12-19,NDX100,remove,SPLK,Splunk
2022-12-19,NDX100,remove,NTES,NetEase
2022-12-19,NDX100,remove,MTCH,Match Group
2022-12-19,NDX100,remove,DOCU,DocuSign
2022-12-19,NDX100,remove,BIDU,Baidu
2022-12-19,NDX100,add,WBD,Warner Bros. Discovery
2022-12-19,NDX100,add,RIVN,Rivian Automotive
2022-12-19,NDX100,add,GFS,GlobalFoundries
2022-12-19,NDX100,add,FANG,Diamondback Energy
2022-12-19,NDX100,add,CSGP,CoStar Group
2022-12-19,NDX100,add,BKR,Baker Hughes
2022-11-21,NDX100,remove,OKTA,Okta
2022-11-21,NDX100,add,ENPH,Enphase Energy
2022-02-22,NDX100,remove,XLNX,Xilinx
2022-02-22,NDX100,add,AZN,AstraZeneca
2022-02-02,NDX100,add,CEG,Constellation Energy
2022-01-24,NDX100,remove,PTON,Peloton
2022-01-24,NDX100,add,ODFL,Old Dominion Freight Line
2021-12-20,NDX100,remove,TCOM,Trip.com
2021-12-20,NDX100,remove,INCY,Incyte
2021-12-20,NDX100,remove,FOXA,Fox Corporation
2021-12-20,NDX100,remove,FOX,Fox Corporation
2021-12-20,NDX100,remove,CHKP,Check Point
2021-12-20,NDX100,remove,CERN,Cerner
2021-12-20,NDX100,remove,CDW,CDW
2021-12-20,NDX100,add,ZS,Zscaler
2021-12-20,NDX100,add,PANW,Palo Alto Networks
2021-12-20,NDX100,add,LCID,Lucid Group
2021-12-20,NDX100,add,FTNT,Fortinet
2021-12-20,NDX100,add,DDOG,Datadog
2021-12-20,NDX100,add,ABNB,Airbnb
2021-08-26,NDX100,remove,MXIM,Maxim Integrated Products
2021-08-26,NDX100,add,CRWD,Crowdstrike
2021-07-21,NDX100,remove,ALXN,Alexion Pharmaceuticals
2021-07-21,NDX100,add,HON,Honeywell
2020-12-21,NDX100,remove,ULTA,Ulta Beauty
2020-12-21,NDX100,remove,TTWO,Take-Two Interactive
2020-12-21,NDX100,remove,LBTYK,Liberty Global
2020-12-21,NDX100,remove,LBTYA,Liberty Global
2020-12-21,NDX100,remove,EXPE,Expedia
2020-12-21,NDX100,remove,CTXS,Citrix Systems
2020-12-21,NDX100,remove,BMRN,BioMarin Pharmaceutical
2020-12-21,NDX100,add,TEAM,Atlassian
2020-12-21,NDX100,add,PTON,Peloton
2020-12-21,NDX100,add,OKTA,Okta
2020-12-21,NDX100,add,MTCH,Match Group
2020-12-21,NDX100,add,MRVL,Marvell Technology
2020-12-21,NDX100,add,AEP,American Electric Power
2020-10-19,NDX100,remove,WDC,Western Digital
2020-10-19,NDX100,add,KDP,Keurig Dr Pepper
2020-08-24,NDX100,remove,NTAP,NetApp
2020-08-24,NDX100,add,PDD,Pinduoduo
2020-07-20,NDX100,remove,CSGP,CoStar Group
2020-07-20,NDX100,add,MRNA,Moderna
2020-06-22,NDX100,remove,UAL,United Airlines Holdings
2020-06-22,NDX100,add,DOCU,DocuSign
2020-04-30,NDX100,remove,WTW,Willis Towers Watson
2020-04-30,NDX100,add,ZM,Zoom Video Communications
2020-04-20,NDX100,remove,AAL,American Airlines
2020-04-20,NDX100,add,DXCM,Dexcom
2019-12-23,NDX100,remove,WYNN,Wynn Resorts
2019-12-23,NDX100,remove,NLOK,NortonLifeLock
2019-12-23,NDX100,remove,MYL,Mylan
2019-12-23,NDX100,remove,JBHT,J.B. Hunt
2019-12-23,NDX100,remove,HSIC,Henry Schein
2019-12-23,NDX100,remove,HAS,Hasbro
2019-12-23,NDX100,add,SPLK,Splunk
2019-12-23,NDX100,add,SGEN,Seattle Genetics
2019-12-23,NDX100,add,CSGP,CoStar Group
2019-12-23,NDX100,add,CPRT,Copart
2019-12-23,NDX100,add,CDW,CDW
2019-12-23,NDX100,add,ANSS,Ansys
2019-11-21,NDX100,remove,CELG,Celgene
2019-11-21,NDX100,add,EXC,Exelon
2019-03-19,NDX100,remove,FOXA,21st Century Fox Class A
2019-03-19,NDX100,remove,FOX,21st Century Fox Class B
2019-03-19,NDX100,add,FOXA,Fox Corporation Class A
2019-03-19,NDX100,add,FOX,Fox Corporation Class B
2018-12-24,NDX100,remove,VOD,Vodafone
2018-12-24,NDX100,remove,STX,Seagate Technology
2018-12-24,NDX100,remove,SHPG,Shire PLC
2018-12-24,NDX100,remove,QRTEA,Qurate Retail
2018-12-24,NDX100,remove,HOLX,Hologic
2018-12-24,NDX100,remove,ESRX,Express Scripts
2018-12-24,NDX100,add,WTW,Willis Towers Watson
2018-12-24,NDX100,add,VRSN,Verisign
2018-12-24,NDX100,add,UAL,United Continental Holdings
2018-12-24,NDX100,add,NTAP,NetApp
2018-12-24,NDX100,add,LULU,lululemon Athletica
2018-12-24,NDX100,add,AMD,Advanced Micro Devices
2018-11-19,NDX100,remove,XRAY,Dentsply Sirona
2018-11-19,NDX100,add,XEL,Xcel Energy
2018-11-05,NDX100,remove,CA,CA Inc.
2018-11-05,NDX100,add,NXPI,NXP Semiconductors
2018-07-23,NDX100,remove,DISH,Dish Network
2018-07-23,NDX100,add,PEP,PepsiCo
2017-12-18,NDX100,remove,VIAB,Viacom
2017-12-18,NDX100,remove,TSCO,Tractor Supply
2017-12-18,NDX100,remove,NCLH,Norwegian Cruise Line Holdings
2017-12-18,NDX100,remove,DISCK,Discovery Communications Series C
2017-12-18,NDX100,remove,DISCA,Discovery Communications Series A
2017-12-18,NDX100,remove,AKAM,Akamai Technologies
2017-12-18,NDX100,add,WDAY,Workday
2017-12-18,NDX100,add,TTWO,Take-Two Interactive
2017-12-18,NDX100,add,SNPS,Synopsys
2017-12-18,NDX100,add,CDNS,Cadence Design Systems
2017-12-18,NDX100,add,ASML,ASML Holding
2017-10-23,NDX100,remove,MAT,Mattel
2017-10-23,NDX100,add,ALGN,Align Technology
2017-06-19,NDX100,remove,YHOO,Yahoo! Inc.
2017-06-19,NDX100,add,MELI,MercadoLibre
2017-04-24,NDX100,remove,TRIP,TripAdvisor
2017-04-24,NDX100,add,WYNN,Wynn Resorts
2017-03-20,NDX100,remove,SBAC,SBA Communications
2017-03-20,NDX100,add,IDXX,Idexx Laboratories
2017-02-07,NDX100,remove,NXPI,NXP Semiconductors
2017-02-07,NDX100,add,JBHT,J.B. Hunt
2016-12-19,NDX100,remove,WFM,Whole Foods Market
2016-12-19,NDX100,remove,SRCL,Stericycle
2016-12-19,NDX100,remove,NTAP,NetApp
2016-12-19,NDX100,remove,BBBY,Bed Bath & Beyond
2016-12-19,NDX100,add,KLAC,KLA-Tencor
2016-12-19,NDX100,add,HOLX,Hologic
2016-12-19,NDX100,add,HAS,Hasbro
2016-12-19,NDX100,add,CTAS,Cintas
2016-10-19,NDX100,remove,LLTC,Linear Technology
2016-10-19,NDX100,add,SHPG,Shire PLC
2016-07-18,NDX100,remove,ENDP,Endo International
2016-07-18,NDX100,add,MCHP,Microchip Technology
2016-06-20,NDX100,remove,LMCK,Liberty Media
2016-06-20,NDX100,remove,LMCA,Liberty Media
2016-06-20,NDX100,remove,BATRK,Liberty Media
2016-06-20,NDX100,remove,BATRA,Liberty Media
2016-06-20,NDX100,add,XRAY,Dentsply Sirona
2016-04-18,NDX100,add,BATRK,Liberty Media
2016-04-18,NDX100,add,BATRA,Liberty Media
2016-03-16,NDX100,remove,SNDK,SanDisk
2016-03-16,NDX100,add,NTES,NetEase
2016-02-16,NDX100,remove,KLAC,KLA-Tencor
2016-02-16,NDX100,add,CSX,CSX Corporation
2016-02-01,NDX100,add,AVGO,Broadcom
2015-12-21,NDX100,remove,WYNN,Wynn Resorts
2015-12-21,NDX100,remove,VIP,VimpelCom
2015-12-21,NDX100,remove,SPLS,Staples
2015-12-21,NDX100,remove,LILAK,Liberty Latin America Class C
2015-12-21,NDX100,remove,LILA,Liberty Latin America Class A
2015-12-21,NDX100,remove,GRMN,Garmin
2015-12-21,NDX100,remove,GMCR,Keurig Green Mountain
2015-12-21,NDX100,remove,EXPD,Expeditors International
2015-12-21,NDX100,remove,CHRW,C. H. Robinson Worldwide
2015-12-21,NDX100,add,ULTA,Ulta Beauty
2015-12-21,NDX100,add,TMUS,T-Mobile US
2015-12-21,NDX100,add,TCOM,Ctrip
2015-12-21,NDX100,add,NCLH,Norwegian Cruise Line
2015-12-21,NDX100,add,MXIM,Maxim Integrated Products
2015-12-21,NDX100,add,EXPE,Expedia Group
2015-12-21,NDX100,add,ENDP,Endo International
2015-11-11,NDX100,remove,AVGO,Broadcom Corporation
2015-11-11,NDX100,add,PYPL,PayPal
2015-10-07,NDX100,remove,ALTR,Altera
2015-10-07,NDX100,add,INCY,Incyte
2015-08-03,NDX100,add,SWKS,Skyworks Solutions
2015-07-31,NDX100,remove,SIAL,Sigma-Aldrich
2015-07-29,NDX100,add,JD,JD.com
2015-07-27,NDX100,add,BMRN,BioMarin Pharmaceutical
2015-07-24,NDX100,remove,DTV,DirecTV
2015-07-24,NDX100,remove,CTRX,Catamaran Corporation
2015-07-02,NDX100,remove,KRFT,Kraft Foods
2015-07-02,NDX100,add,LILAK,Liberty Latin America Class C
2015-07-02,NDX100,add,LILA,Liberty Latin America Class A
