date,index_name,action,symbol,source,revid
2026-03-31,NDX100,remove,AZN,qqq,0001067839-26-000024
2026-03-31,NDX100,add,WMT,qqq,0001067839-26-000024
2025-12-31,NDX100,remove,TTD,qqq,0001067839-26-000016
2025-12-31,NDX100,remove,ON,qqq,0001067839-26-000016
2025-12-31,NDX100,remove,LULU,qqq,0001067839-26-000016
2025-12-31,NDX100,remove,GFS,qqq,0001067839-26-000016
2025-12-31,NDX100,remove,CDW,qqq,0001067839-26-000016
2025-12-31,NDX100,remove,BIIB,qqq,0001067839-26-000016
2025-12-31,NDX100,add,WDC,qqq,0001067839-26-000016
2025-12-31,NDX100,add,STX,qqq,0001067839-26-000016
2025-12-31,NDX100,add,MPWR,qqq,0001067839-26-000016
2025-12-31,NDX100,add,INSM,qqq,0001067839-26-000016
2025-12-31,NDX100,add,FER,qqq,0001067839-26-000016
2025-12-31,NDX100,add,ALNY,qqq,0001067839-26-000016
2025-09-30,NDX100,remove,ANSS,qqq,0001067839-25-000007
2025-09-30,NDX100,add,TRI,qqq,0001067839-25-000007
2025-06-30,NDX100,remove,MDB,qqq,0001752724-25-211318
2025-06-30,NDX100,add,SHOP,qqq,0001752724-25-211318
2024-12-31,NDX100,remove,SMCI,qqq,0001752724-25-039757
2024-12-31,NDX100,remove,MRNA,qqq,0001752724-25-039757
2024-12-31,NDX100,remove,ILMN,qqq,0001752724-25-039757
2024-12-31,NDX100,remove,DLTR,qqq,0001752724-25-039757
2024-12-31,NDX100,add,PLTR,qqq,0001752724-25-039757
2024-12-31,NDX100,add,MSTR,qqq,0001752724-25-039757
2024-12-31,NDX100,add,AXON,qqq,0001752724-25-039757
2024-12-31,NDX100,add,APP,qqq,0001752724-25-039757
2024-09-30,NDX100,remove,WBA,qqq,0001752724-24-274837
2024-09-30,NDX100,remove,GRAL,qqq,0001752724-24-274837
2024-09-30,NDX100,add,SMCI,qqq,0001752724-24-274837
2024-06-30,NDX100,remove,SIRI,qqq,0001752724-24-196011
2024-06-30,NDX100,add,GRAL,qqq,0001752724-24-196011
2024-06-30,NDX100,add,ARM,qqq,0001752724-24-196011
2024-03-31,NDX100,remove,SPLK,qqq,0001752724-24-126831
2024-03-31,NDX100,add,LIN,qqq,0001752724-24-126831
2023-12-31,NDX100,remove,ZM,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,SGEN,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,LCID,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,JD,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,ENPH,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,EBAY,qqq,0001752724-24-049569
2023-12-31,NDX100,remove,ALGN,qqq,0001752724-24-049569
2023-12-31,NDX100,add,TTWO,qqq,0001752724-24-049569
2023-12-31,NDX100,add,SPLK,qqq,0001752724-24-049569
2023-12-31,NDX100,add,ROP,qqq,0001752724-24-049569
2023-12-31,NDX100,add,MDB,qqq,0001752724-24-049569
2023-12-31,NDX100,add,DASH,qqq,0001752724-24-049569
2023-12-31,NDX100,add,CDW,qqq,0001752724-24-049569
2023-12-31,NDX100,add,CCEP,qqq,0001752724-24-049569
2023-09-30,NDX100,remove,ATVI,qqq,0001752724-23-269960
2023-09-30,NDX100,add,TTD,qqq,0001752724-23-269960
2023-06-30,NDX100,remove,RIVN,qqq,0001752724-23-198395
2023-06-30,NDX100,remove,FI,qqq,0001752724-23-198395
2023-06-30,NDX100,add,ON,qqq,0001752724-23-198395
2023-06-30,NDX100,add,GEHC,qqq,0001752724-23-198395
2022-12-31,NDX100,remove,VRSN,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,SWKS,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,SPLK,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,OKTA,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,NTES,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,MTCH,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,DOCU,qqq,0001752724-23-047901
2022-12-31,NDX100,remove,BIDU,qqq,0001752724-23-047901
2022-12-31,NDX100,add,WBD,qqq,0001752724-23-047901
2022-12-31,NDX100,add,RIVN,qqq,0001752724-23-047901
2022-12-31,NDX100,add,GFS,qqq,0001752724-23-047901
2022-12-31,NDX100,add,FANG,qqq,0001752724-23-047901
2022-12-31,NDX100,add,ENPH,qqq,0001752724-23-047901
2022-12-31,NDX100,add,CSGP,qqq,0001752724-23-047901
2022-12-31,NDX100,add,BKR,qqq,0001752724-23-047901
2022-03-31,NDX100,remove,XLNX,qqq,0001752724-22-116978
2022-03-31,NDX100,remove,PTON,qqq,0001752724-22-116978
2022-03-31,NDX100,add,ODFL,qqq,0001752724-22-116978
2022-03-31,NDX100,add,CEG,qqq,0001752724-22-116978
2022-03-31,NDX100,add,AZN,qqq,0001752724-22-116978
2021-12-31,NDX100,remove,TCOM,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,INCY,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,FOXA,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,FOX,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,CHKP,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,CERN,qqq,0001752724-22-046874
2021-12-31,NDX100,remove,CDW,qqq,0001752724-22-046874
2021-12-31,NDX100,add,ZS,qqq,0001752724-22-046874
2021-12-31,NDX100,add,PANW,qqq,0001752724-22-046874
2021-12-31,NDX100,add,LCID,qqq,0001752724-22-046874
2021-12-31,NDX100,add,FTNT,qqq,0001752724-22-046874
2021-12-31,NDX100,add,DDOG,qqq,0001752724-22-046874
2021-12-31,NDX100,add,ABNB,qqq,0001752724-22-046874
2021-09-30,NDX100,remove,MXIM,qqq,0001752724-21-250330
2021-09-30,NDX100,remove,ALXN,qqq,0001752724-21-250330
2021-09-30,NDX100,add,HON,qqq,0001752724-21-250330
2021-09-30,NDX100,add,CRWD,qqq,0001752724-21-250330
2020-12-31,NDX100,remove,WDC,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,ULTA,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,TTWO,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,LBTYK,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,LBTYA,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,EXPE,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,CTXS,qqq,0001752724-21-043706
2020-12-31,NDX100,remove,BMRN,qqq,0001752724-21-043706
2020-12-31,NDX100,add,TEAM,qqq,0001752724-21-043706
2020-12-31,NDX100,add,PTON,qqq,0001752724-21-043706
2020-12-31,NDX100,add,OKTA,qqq,0001752724-21-043706
2020-12-31,NDX100,add,MTCH,qqq,0001752724-21-043706
2020-12-31,NDX100,add,MRVL,qqq,0001752724-21-043706
2020-12-31,NDX100,add,KDP,qqq,0001752724-21-043706
2020-12-31,NDX100,add,AEP,qqq,0001752724-21-043706
2020-09-30,NDX100,remove,NTAP,qqq,0001752724-20-251748
2020-09-30,NDX100,remove,CSGP,qqq,0001752724-20-251748
2020-09-30,NDX100,add,PDD,qqq,0001752724-20-251748
2020-09-30,NDX100,add,MRNA,qqq,0001752724-20-251748
2020-06-30,NDX100,remove,WTW,qqq,0001752724-20-174500
2020-06-30,NDX100,remove,UAL,qqq,0001752724-20-174500
2020-06-30,NDX100,remove,AAL,qqq,0001752724-20-174500
2020-06-30,NDX100,add,ZM,qqq,0001752724-20-174500
2020-06-30,NDX100,add,DXCM,qqq,0001752724-20-174500
2020-06-30,NDX100,add,DOCU,qqq,0001752724-20-174500
2019-12-31,NDX100,remove,WYNN,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,NLOK,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,MYL,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,JBHT,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,HSIC,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,HAS,qqq,0001752724-20-043463
2019-12-31,NDX100,remove,CELG,qqq,0001752724-20-043463
2019-12-31,NDX100,add,SPLK,qqq,0001752724-20-043463
2019-12-31,NDX100,add,SGEN,qqq,0001752724-20-043463
2019-12-31,NDX100,add,EXC,qqq,0001752724-20-043463
2019-12-31,NDX100,add,CSGP,qqq,0001752724-20-043463
2019-12-31,NDX100,add,CPRT,qqq,0001752724-20-043463
2019-12-31,NDX100,add,CDW,qqq,0001752724-20-043463
2019-12-31,NDX100,add,ANSS,qqq,0001752724-20-043463
2019-09-30,NDX100,remove,XRAY,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,VOD,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,TFCF,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,STX,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,SHPG,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,QRTEA,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,HOLX,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,ESRX,qqq,0001752724-19-184787
2019-09-30,NDX100,remove,CA,qqq,0001752724-19-184787
2019-09-30,NDX100,add,XEL,qqq,0001752724-19-184787
2019-09-30,NDX100,add,WTW,qqq,0001752724-19-184787
2019-09-30,NDX100,add,VRSN,qqq,0001752724-19-184787
2019-09-30,NDX100,add,UAL,qqq,0001752724-19-184787
2019-09-30,NDX100,add,ORLY,qqq,0001752724-19-184787
2019-09-30,NDX100,add,NXPI,qqq,0001752724-19-184787
2019-09-30,NDX100,add,NTAP,qqq,0001752724-19-184787
2019-09-30,NDX100,add,LULU,qqq,0001752724-19-184787
2019-09-30,NDX100,add,FOXA,qqq,0001752724-19-184787
2019-09-30,NDX100,add,AMD,qqq,0001752724-19-184787
2018-09-30,NDX100,remove,VIAB,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,TSCO,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,QVCA,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,NCLH,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,MAT,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,LVNTA,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,DISH,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,DISCK,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,DISCA,qqq,0001193125-18-355790
2018-09-30,NDX100,remove,AKAM,qqq,0001193125-18-355790
2018-09-30,NDX100,add,WDAY,qqq,0001193125-18-355790
