symbol,valid_from,vendor_symbol,vendor_name
ABI,2008-01-02,ABI_OLD1,Applied Biosystems Inc (인비트로젠 합병으로 폐지). 계열 2006-01-03~2008-11-21
ADT,2012-10-01,ADT_OLD,
ALTR,2008-01-02,ALTR_OLD,
APC,2008-01-02,APC_OLD,
BEAM,2011-11-30,BEAM_OLD,
BSC,2008-01-02,BSC_OLD,Bear Stearns Companies Inc (JPM 인수로 폐지). 계열 2006-01-03~2008-03-14
BTU,2008-01-02,BTU_OLD,
BUD,2008-01-02,BUD_OLD,
CA,2008-01-02,CA_OLD,
CA,2008-05-19,CA_OLD,
CAM,2008-01-02,CAM_OLD,
CAM,2008-08-30,CAM_OLD,
CBH,2008-01-02,CBH1,Commerce Bancorp Inc (TD 인수로 폐지). 계열 2006-01-03~2008-03-28
CC,2008-01-02,CCTYQ,Circuit City Stores Inc (파산 후 PINK). 계열 2006-01-03~2011-09-26로 구간을 덮는다
CEG,2008-01-02,CEG_OLD,
CHK,2008-01-02,CHK_OLD,
CIT,2008-01-02,CITGQ,CIT Group Inc (챕터11 이전 계열). 2006-01-03~2009-12-09이고 재상장분이 기본 CIT다
DELL,2008-01-02,DELL_OLD,
DNB,2008-01-02,DNB_OLD,
DNB,2008-12-31,DNB_OLD,
DO,2008-01-02,DO_OLD,
DO,2009-03-19,DO_OLD,
DOW,2008-01-02,DOW_OLD,
DTV,2008-01-02,DTV_OLD,
DTV,2008-04-30,DTV_OLD,
DYN,2008-01-02,DYN_OLD,
EMC,2008-01-02,EMC_OLD,
EQ,2008-01-02,EQ1,Embarq CORP (센추리텔 인수로 폐지). 계열 2006-05-05~2009-06-30
FRX,2008-01-02,FRX_OLD,
GENZ,2008-01-02,GENZ_OLD,
GM,2008-01-02,GM_OLD,
GOLD,2011-12-19,GOLD_OLD,
INFO,2017-06-02,INFO_OLD1,
KG,2008-01-02,KG_OLD,
LEAP,2008-01-02,LEAP_OLD,
LIFE,2008-12-22,LIFE2,Life Technologies Corp (서모피셔 인수로 폐지). 계열 2006-01-03~2014-02-03
LIFE,2009-03-19,LIFE2,같은 회사의 SP500 구간이다
LLL,2008-01-02,LLL_OLD,
MICC,2008-01-02,MIICF,Millicom International Cellular S.A (2019-01 TIGO로 재상장 전 계열). 2006-01-03~2019-01-08
MMI,2011-01-03,MMI_OLD,
MNK,2014-08-18,MNK_OLD,
MON,2008-01-02,MON_OLD,
NCC,2008-01-02,NCC_OLD,National City Corp (PNC 인수로 폐지). 계열 2006-01-03~2008-12-31
NE,2008-01-02,NE_OLD,
NE,2011-03-30,NE_OLD,
NIHD,2008-01-02,NIHDQ,NII Holdings Inc (파산 후 PINK). 계열 2006-01-03~2015-06-25로 구간을 덮는다
NSM,2008-01-02,NSM_OLD,
NU,2009-04-16,NU_OLD,
NYX,2008-01-02,NYX_OLD,
PCL,2008-01-02,PCL_OLD,
PCS,2009-06-29,PCS_OLD1,
PGN,2008-01-02,PGN_OLD,
PLL,2008-01-02,PLL_OLD,
POM,2008-01-02,POM_OLD,
Q,2008-01-02,Q_OLD,
Q,2017-08-29,Q_OLD1,
S,2008-01-02,S_OLD,
SAF,2008-01-02,SAF_OLD1,
SE,2008-01-02,SE1,Spectra Energy Corp (엔브리지 인수로 폐지). 계열 2006-12-14~2017-02-24
SGP,2008-01-02,SGP_OLD1,
SHLD,2008-01-02,SHLD_OLD,
SII,2008-01-02,SII_OLD,
SLE,2008-01-02,SLE_OLD,
SNDK,2008-01-02,SNDK_OLD,
SNDK,2009-12-21,SNDK_OLD,
SPLS,2008-01-02,SPLS_OLD,
STI,2008-01-02,STI_OLD,
STR,2008-01-02,STR_OLD,
SUN,2008-01-02,SUN1,Sunoco Inc (폐지). 계열 2006-01-03~2012-10-04로 구간을 덮는다
TE,2008-01-02,TE_OLD1,
UST,2008-01-02,UST_OLD,
WB,2008-01-02,WB_OLD1,
WFR,2008-01-02,WFR_OLD,
XL,2008-01-02,XL_OLD,
