date,index_name,action,symbol
2026-08-05,SP500,remove,EA
2026-08-05,SP500,add,FERG
2026-06-30,SP500,remove,CAG
2026-06-29,SP500,add,HONA
2026-06-22,SP500,remove,POOL
2026-06-22,SP500,remove,CPB
2026-06-22,SP500,add,MRVL
2026-06-22,SP500,add,FLEX
2026-06-02,SP500,remove,EPAM
2026-06-01,SP500,add,FDXF
2026-05-07,SP500,remove,CTRA
2026-05-07,SP500,add,VEEV
2026-04-09,SP500,remove,HOLX
2026-04-09,SP500,add,CASY
2026-03-23,SP500,remove,PAYC
2026-03-23,SP500,remove,MTCH
2026-03-23,SP500,remove,MOH
2026-03-23,SP500,remove,LW
2026-03-23,SP500,add,VRT
2026-03-23,SP500,add,LITE
2026-03-23,SP500,add,ECHO
2026-03-23,SP500,add,COHR
2026-02-09,SP500,remove,DAY
2026-02-09,SP500,add,CIEN
2025-12-22,SP500,remove,SOLS
2025-12-22,SP500,remove,MHK
2025-12-22,SP500,remove,LKQ
2025-12-22,SP500,add,FIX
2025-12-22,SP500,add,CVNA
2025-12-22,SP500,add,CRH
2025-12-11,SP500,remove,K
2025-12-11,SP500,add,ARES
2025-11-28,SP500,remove,IPG
2025-11-28,SP500,add,SNDK
2025-11-04,SP500,remove,EMN
2025-11-03,SP500,add,Q
2025-10-31,SP500,remove,KMX
2025-10-30,SP500,add,SOLS
2025-09-22,SP500,remove,MKTX
2025-09-22,SP500,remove,ENPH
2025-09-22,SP500,remove,CZR
2025-09-22,SP500,add,HOOD
2025-09-22,SP500,add,EME
2025-09-22,SP500,add,APP
2025-08-28,SP500,remove,WBA
2025-08-28,SP500,add,IBKR
2025-07-23,SP500,remove,HES
2025-07-23,SP500,add,XYZ
2025-07-18,SP500,remove,ANSS
2025-07-18,SP500,add,TTD
2025-07-09,SP500,remove,JNPR
2025-07-09,SP500,add,DDOG
2025-05-19,SP500,remove,DFS
2025-05-19,SP500,add,COIN
2025-03-24,SP500,remove,TFX
2025-03-24,SP500,remove,FMC
2025-03-24,SP500,remove,CE
2025-03-24,SP500,remove,BWA
2025-03-24,SP500,add,WSM
2025-03-24,SP500,add,TKO
2025-03-24,SP500,add,EXE
2025-03-24,SP500,add,DASH
2024-12-23,SP500,remove,QRVO
2024-12-23,SP500,remove,CTLT
2024-12-23,SP500,remove,AMTM
2024-12-23,SP500,add,WDAY
2024-12-23,SP500,add,LII
2024-12-23,SP500,add,APO
2024-11-26,SP500,remove,MRO
2024-11-26,SP500,add,TPL
2024-10-01,SP500,remove,BBWI
2024-09-30,SP500,add,AMTM
2024-09-23,SP500,remove,ETSY
2024-09-23,SP500,remove,BIO
2024-09-23,SP500,remove,AAL
2024-09-23,SP500,add,PLTR
2024-09-23,SP500,add,ERIE
2024-09-23,SP500,add,DELL
2024-06-24,SP500,remove,RHI
2024-06-24,SP500,remove,ILMN
2024-06-24,SP500,remove,CMA
2024-06-24,SP500,add,KKR
2024-06-24,SP500,add,GDDY
2024-06-24,SP500,add,CRWD
2024-05-08,SP500,remove,PXD
2024-05-08,SP500,add,VST
2024-04-03,SP500,remove,XRAY
2024-04-03,SP500,remove,VFC
2024-04-02,SP500,add,GEV
2024-04-01,SP500,add,SOLV
2024-03-25,SP500,remove,FLT
2024-03-25,SP500,add,CPAY
2024-03-18,SP500,remove,ZION
2024-03-18,SP500,remove,WHR
2024-03-18,SP500,add,SMCI
2024-03-18,SP500,add,DECK
2024-02-01,SP500,remove,DAY
2024-02-01,SP500,add,DAY
