index_name,symbol
SP500,A
SP500,AAPL
SP500,ABBV
SP500,ABNB
SP500,ABT
SP500,ACGL
SP500,ACN
SP500,ADBE
SP500,ADI
SP500,ADM
SP500,ADP
SP500,ADSK
SP500,AEE
SP500,AEP
SP500,AES
SP500,AFL
SP500,AIG
SP500,AIZ
SP500,AJG
SP500,AKAM
SP500,ALB
SP500,ALGN
SP500,ALL
SP500,ALLE
SP500,AMAT
SP500,AMCR
SP500,AMD
SP500,AME
SP500,AMGN
SP500,AMP
SP500,AMT
SP500,AMZN
SP500,ANET
SP500,AON
SP500,AOS
SP500,APA
SP500,APD
SP500,APH
SP500,APO
SP500,APP
SP500,APTV
SP500,ARE
SP500,ARES
SP500,ATO
SP500,AVB
SP500,AVGO
SP500,AVY
SP500,AWK
SP500,AXON
SP500,AXP
SP500,AZO
SP500,BA
SP500,BAC
SP500,BALL
SP500,BAX
SP500,BBY
SP500,BDX
SP500,BEN
SP500,BF-B
SP500,BG
SP500,BIIB
SP500,BKNG
SP500,BKR
SP500,BLDR
SP500,BLK
SP500,BMY
SP500,BNY
SP500,BR
SP500,BRK-B
SP500,BRO
SP500,BSX
SP500,BX
SP500,BXP
SP500,C
SP500,CAH
SP500,CARR
SP500,CASY
SP500,CAT
SP500,CB
SP500,CBOE
SP500,CBRE
SP500,CCI
SP500,CCL
SP500,CDNS
SP500,CDW
SP500,CEG
SP500,CF
SP500,CFG
SP500,CHD
SP500,CHRW
SP500,CHTR
SP500,CI
SP500,CIEN
SP500,CINF
SP500,CL
SP500,CLX
SP500,CMCSA
SP500,CME
SP500,CMG
SP500,CMI
SP500,CMS
SP500,CNC
SP500,CNP
SP500,COF
SP500,COHR
SP500,COIN
SP500,COO
SP500,COP
SP500,COR
SP500,COST
SP500,CPAY
SP500,CPRT
SP500,CPT
SP500,CRH
SP500,CRL
SP500,CRM
SP500,CRWD
SP500,CSCO
SP500,CSGP
SP500,CSX
SP500,CTAS
SP500,CTSH
SP500,CTVA
SP500,CVNA
SP500,CVS
SP500,CVX
SP500,D
SP500,DAL
SP500,DASH
SP500,DD
SP500,DDOG
SP500,DE
SP500,DECK
SP500,DELL
SP500,DG
SP500,DGX
SP500,DHI
SP500,DHR
SP500,DIS
SP500,DLR
SP500,DLTR
SP500,DOC
SP500,DOV
SP500,DOW
SP500,DPZ
SP500,DRI
SP500,DTE
SP500,DUK
SP500,DVA
SP500,DVN
SP500,DXCM
SP500,EBAY
SP500,ECHO
SP500,ECL
SP500,ED
SP500,EFX
SP500,EG
SP500,EIX
SP500,EL
SP500,ELV
SP500,EME
SP500,EMR
SP500,EOG
SP500,EQIX
SP500,EQR
SP500,EQT
SP500,ERIE
SP500,ES
SP500,ESS
SP500,ETN
SP500,ETR
SP500,EVRG
SP500,EW
SP500,EXC
SP500,EXE
SP500,EXPD
SP500,EXPE
SP500,EXR
SP500,F
SP500,FANG
SP500,FAST
SP500,FCX
SP500,FDS
SP500,FDX
SP500,FDXF
SP500,FE
SP500,FERG
SP500,FFIV
SP500,FICO
SP500,FIS
SP500,FISV
SP500,FITB
SP500,FIX
SP500,FLEX
SP500,FOX
SP500,FOXA
SP500,FRT
SP500,FSLR
SP500,FTNT
SP500,FTV
SP500,GD
SP500,GDDY
SP500,GE
SP500,GEHC
SP500,GEN
SP500,GEV
SP500,GILD
SP500,GIS
SP500,GL
SP500,GLW
SP500,GM
SP500,GNRC
SP500,GOOG
SP500,GOOGL
