date,index_name,action,symbol,source,revid
2026-06-30,SP500,remove,POOL,snapshot,1361794875
2026-06-30,SP500,remove,EPAM,snapshot,1361794875
2026-06-30,SP500,remove,CPB,snapshot,1361794875
2026-06-30,SP500,remove,CAG,snapshot,1361794875
2026-06-30,SP500,add,MRVL,snapshot,1361794875
2026-06-30,SP500,add,HONA,snapshot,1361794875
2026-06-30,SP500,add,FLEX,snapshot,1361794875
2026-06-30,SP500,add,FDXF,snapshot,1361794875
2026-05-23,SP500,remove,CTRA,snapshot,1355685534
2026-05-23,SP500,remove,BK,snapshot,1355685534
2026-05-23,SP500,add,VEEV,snapshot,1355685534
2026-05-23,SP500,add,BNY,snapshot,1355685534
2026-04-19,SP500,remove,HOLX,snapshot,1349933445
2026-04-19,SP500,add,CASY,snapshot,1349933445
2026-03-27,SP500,remove,PAYC,snapshot,1345606266
2026-03-27,SP500,remove,MTCH,snapshot,1345606266
2026-03-27,SP500,remove,MOH,snapshot,1345606266
2026-03-27,SP500,remove,LW,snapshot,1345606266
2026-03-27,SP500,add,VRT,snapshot,1345606266
2026-03-27,SP500,add,LITE,snapshot,1345606266
2026-03-27,SP500,add,ECHO,snapshot,1345606266
2026-03-27,SP500,add,COHR,snapshot,1345606266
2026-02-24,SP500,remove,DAY,snapshot,1340186477
2026-02-24,SP500,add,CIEN,snapshot,1340186477
2026-01-26,SP500,remove,SOLS,snapshot,1335000805
2026-01-26,SP500,remove,MMC,snapshot,1335000805
2026-01-26,SP500,add,MRSH,snapshot,1335000805
2026-01-26,SP500,add,FIX,snapshot,1335000805
2026-01-26,SP500,add,CVNA,snapshot,1335000805
2026-01-26,SP500,add,CRH,snapshot,1335000805
2025-12-23,SP500,remove,MHK,snapshot,1329075976
2025-12-23,SP500,remove,LKQ,snapshot,1329075976
2025-12-23,SP500,remove,K,snapshot,1329075976
2025-12-23,SP500,add,SNDK,snapshot,1329075976
2025-12-23,SP500,add,ARES,snapshot,1329075976
2025-11-29,SP500,remove,IPG,snapshot,1324692884
2025-11-29,SP500,remove,FI,snapshot,1324692884
2025-11-29,SP500,remove,EMN,snapshot,1324692884
2025-11-29,SP500,add,Q,snapshot,1324692884
2025-11-29,SP500,add,FISV,snapshot,1324692884
2025-10-31,SP500,remove,KMX,snapshot,1319706093
2025-10-31,SP500,add,SOLS,snapshot,1319706093
2025-09-30,SP500,remove,MKTX,snapshot,1314254751
2025-09-30,SP500,remove,ENPH,snapshot,1314254751
2025-09-30,SP500,remove,CZR,snapshot,1314254751
2025-09-30,SP500,add,HOOD,snapshot,1314254751
2025-09-30,SP500,add,EME,snapshot,1314254751
2025-09-30,SP500,add,APP,snapshot,1314254751
2025-08-29,SP500,remove,WBA,snapshot,1308482549
2025-08-29,SP500,remove,PARA,snapshot,1308482549
2025-08-29,SP500,add,PSKY,snapshot,1308482549
2025-08-29,SP500,add,IBKR,snapshot,1308482549
2025-07-23,SP500,remove,JNPR,snapshot,1302049498
2025-07-23,SP500,remove,HES,snapshot,1302049498
2025-07-23,SP500,remove,ANSS,snapshot,1302049498
2025-07-23,SP500,add,XYZ,snapshot,1302049498
2025-07-23,SP500,add,TTD,snapshot,1302049498
2025-07-23,SP500,add,DDOG,snapshot,1302049498
2025-05-27,SP500,remove,DFS,snapshot,1292523673
2025-05-27,SP500,add,COIN,snapshot,1292523673
2025-03-31,SP500,remove,TFX,snapshot,1283349047
2025-03-31,SP500,remove,FMC,snapshot,1283349047
2025-03-31,SP500,remove,CE,snapshot,1283349047
2025-03-31,SP500,remove,BWA,snapshot,1283349047
2025-03-31,SP500,add,WSM,snapshot,1283349047
2025-03-31,SP500,add,TKO,snapshot,1283349047
2025-03-31,SP500,add,EXE,snapshot,1283349047
2025-03-31,SP500,add,DASH,snapshot,1283349047
2024-12-26,SP500,remove,QRVO,snapshot,1265285344
2024-12-26,SP500,remove,CTLT,snapshot,1265285344
2024-12-26,SP500,remove,AMTM,snapshot,1265285344
2024-12-26,SP500,add,WDAY,snapshot,1265285344
2024-12-26,SP500,add,LII,snapshot,1265285344
2024-12-26,SP500,add,APO,snapshot,1265285344
2024-11-27,SP500,remove,MRO,snapshot,1259811770
2024-11-27,SP500,add,TPL,snapshot,1259811770
2024-09-30,SP500,remove,ETSY,snapshot,1248679132
2024-09-30,SP500,remove,BIO,snapshot,1248679132
2024-09-30,SP500,remove,BBWI,snapshot,1248679132
2024-09-30,SP500,remove,AAL,snapshot,1248679132
2024-09-30,SP500,add,PLTR,snapshot,1248679132
